pool,token0,token1
0xB346Ab8D4261A7Ae855448fe456b7E36Bc64b69b,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xEA31cb7674b192ecDa6d32fDFdD136CeE651B6f2
0x5Acc681537336c637A5cb063450f4e96391aaF85,0x64Bc251b0EB9200948C9155573Cd459C5E17C6a4,0xd586E7F844cEa2F87f50152665BCbc2C279D8d70
0xA25bC1De9C55fF697A6cAA74Ef6c51b131A14244,0x64Bc251b0EB9200948C9155573Cd459C5E17C6a4,0xA7D7079b0FEaD91F3e65f86E8915Cb59c1a4C664
0x349EFD3F57A4a627AFfd500C7c47F990a8175329,0x64Bc251b0EB9200948C9155573Cd459C5E17C6a4,0xc7198437980c041c805A1EDcbA50c1Ce5db95118
0xDF347AD511E5cD692E3633fdb623918560e229d0,0x130966628846BFd36ff31a822705796e8cb8C18D,0x37B608519F91f70F2EeB0e5Ed9AF4061722e4F76
0x80a483B8DD375B1a20De8A0c08602Bc95A30D35f,0x130966628846BFd36ff31a822705796e8cb8C18D,0xdE9E52F1838951e4d2bb6C59723B003c353979b6
0xC873C6F57F7304A840b2341778E6Ff0dF6A0B7b9,0xA32608e873F9DdEF944B24798db69d80Bbb4d1ed,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xf967658Df1Cfe8963b06E6A9F8028aC80DdC1b80,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xf693248F96Fe03422FEa95aC0aFbBBc4a8FdD172
0x801074A7D13c007045443cd349B40A659DC3068C,0x53d6CB1396e8ba6D09C553409Ccc34f98530d57F,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xfC00C4B53F10cd1ACa063Dd5d999cAc612D1f6c4,0x7064Ca2735CEA24Cb84a974f2b960d1E842B42Bf,0xd586E7F844cEa2F87f50152665BCbc2C279D8d70
0x3387200d52e41dBe90e42983D83487d5279c3B92,0x72699ba15CC734F8db874fa9652c8DE12093F187,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x2895ECa1B0a49184A6C680D0bc5D46Ef51eA2c95,0x47EB6F7525C1aA999FBC9ee92715F5231eB1241D,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x869dAC7B2317559AA2938B99bAF34c36Dedcaa52,0x1fe7801aaaAeAD28662c268775E43c1BAeF5b54d,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x7782ea0303cd51f65eE1eB52770185BbC937C8F8,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xCE1bFFBD5374Dac86a2893119683F4911a2F7814
0x8Ed9dd1986546fBf5eE6eBBDEC934a24074fD3fA,0x02fE8adC1B58A63CCb1Bb8c39930DCEdD7cEF4dB,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x6cb6cb160bd629AAF07d2e51B3a435d909d01Dd0,0x130966628846BFd36ff31a822705796e8cb8C18D,0xb54f16fB19478766A268F172C9480f8da1a7c9C3
0x06553E53dff0F8D8b1f8193904f69554f7644700,0x136Acd46C134E8269052c62A67042D6bDeDde3C9,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x55dE93B08c2772d677f1263C3ea91B9d7D4CE79d,0x49D5c2BdFfac6CE2BFdB6640F4F80f226bc10bAB,0x50b7545627a5162F82A992c33b87aDc75187B218
0xbAaed274B088e3BD4e30feA26519ED7d23b7c7c6,0x563CA8141849CdBC70201554b6CF20A2D469EA81,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xac193A657065571bCB000c3D45857E453bFA2E6B,0x637afeff75ca669fF92e4570B14D6399A658902f,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x97dE211811E65998759B51ca6C70074bFbD700a5,0x130966628846BFd36ff31a822705796e8cb8C18D,0xE0474c15BC7f8213eE5bfB42f9E68B2d6BE2e136
0x4CcdDB4f289811988DC674593de9D65922cDf0B8,0x130966628846BFd36ff31a822705796e8cb8C18D,0x9235B893a3e61a14b2D02a91EC1394fbF411689E
0x9Ae33CB6e78aEeB65B839C3076616562Bb568f71,0x5279d013f9BdFe00A0ED20c03Ae0217b760DEF88,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
